t,e_line,u_L,u_R,v,omega
0.0000,0.050000,0.049751,1.000000,0.341169,4.751245
0.0100,0.050000,0.549500,0.750500,0.422500,1.005000
0.0200,0.050475,0.543548,0.756452,0.422500,1.064517
0.0300,0.051050,0.541139,0.758861,0.422500,1.088612
0.0400,0.051732,0.538455,0.761545,0.422500,1.115454
0.0500,0.052522,0.535526,0.764474,0.422500,1.144739
0.0600,0.053423,0.532345,0.767655,0.422500,1.176550
0.0700,0.054438,0.528903,0.771097,0.422500,1.210970
0.0800,0.055571,0.525191,0.774809,0.422500,1.248090
0.0900,0.056823,0.521200,0.778800,0.422500,1.288002
0.1000,0.058199,0.516919,0.783081,0.422500,1.330808
0.1100,0.059703,0.512339,0.787661,0.422500,1.376610
0.1200,0.061338,0.507448,0.792552,0.422500,1.425521
0.1300,0.063108,0.502235,0.797765,0.422500,1.477655
0.1400,0.065019,0.496687,0.803313,0.422500,1.533133
0.1500,0.067075,0.490792,0.809208,0.422500,1.592082
0.1600,0.069280,0.484537,0.815463,0.422500,1.654633
0.1700,0.071641,0.477908,0.822092,0.422500,1.720924
0.1800,0.074161,0.470891,0.829109,0.422500,1.791095
0.1900,0.076849,0.463471,0.836529,0.422500,1.865293
0.2000,0.079708,0.455633,0.844367,0.422500,1.943669
0.2100,0.082745,0.447362,0.852638,0.422500,2.026376
0.2200,0.085967,0.438643,0.861357,0.422500,2.113573
0.2300,0.089380,0.429458,0.870542,0.422500,2.205420
0.2400,0.092991,0.419792,0.880208,0.422500,2.302078
0.2500,0.096807,0.409629,0.890371,0.422500,2.403710
0.2600,0.100834,0.398952,0.901048,0.422500,2.510478
0.2700,0.105081,0.387746,0.912254,0.422500,2.622542
0.2800,0.109553,0.375994,0.924006,0.422500,2.740057
0.2900,0.114258,0.363682,0.936318,0.422500,2.863176
0.3000,0.119203,0.350796,0.949204,0.422500,2.992039
0.3100,0.124395,0.337322,0.962678,0.422500,3.126779
0.3200,0.129841,0.323249,0.976751,0.422500,3.267515
0.3300,0.135546,0.308565,0.991435,0.422500,3.414346
0.3400,0.141516,0.293265,1.000000,0.420311,3.533676
0.3500,0.147757,0.277341,1.000000,0.415136,3.613295
0.3600,0.154269,0.260823,1.000000,0.409767,3.695887
0.3700,0.161052,0.243753,1.000000,0.404220,3.781234
0.3800,0.168101,0.226145,1.000000,0.398497,3.869276
0.3900,0.175414,0.208012,1.000000,0.392604,3.959942
0.4000,0.182985,0.189371,1.000000,0.386546,4.053145
0.4100,0.190809,0.170243,1.000000,0.380329,4.148787
0.4200,0.198878,0.150649,1.000000,0.373961,4.246753
0.4300,0.207186,0.130618,1.000000,0.367451,4.346909
0.4400,0.215722,0.110178,1.000000,0.360808,4.449108
0.4500,0.224477,0.089364,1.000000,0.354043,4.553181
0.4600,0.233438,0.068212,1.000000,0.347169,4.658941
0.4700,0.242592,0.046764,1.000000,0.340198,4.766180
0.4800,0.251923,0.025066,1.000000,0.333146,4.874670
0.4900,0.261415,0.003168,1.000000,0.326030,4.984161
0.5000,0.271049,-0.018876,1.000000,0.318865,5.094380
0.5100,0.280805,-0.041007,1.000000,0.311673,5.205036
0.5200,0.290660,-0.063162,1.000000,0.304472,5.315812
0.5300,0.300590,-0.085275,1.000000,0.297286,5.426374
0.5400,0.310568,-0.107273,1.000000,0.290136,5.536365
